// Monster Database
//
// Structure of Database :
// ID,Sprite_Name,kROName,iROName,LV,HP,SP,EXP,JEXP,Range1,ATK1,ATK2,DEF,MDEF,STR,AGI,VIT,INT,DEX,LUK,Range2,Range3,Scale,Race,Element,Mode,Speed,aDelay,aMotion,dMotion,MEXP,MVP1id,MVP1per,MVP2id,MVP2per,MVP3id,MVP3per,Drop1id,Drop1per,Drop2id,Drop2per,Drop3id,Drop3per,Drop4id,Drop4per,Drop5id,Drop5per,Drop6id,Drop6per,Drop7id,Drop7per,Drop8id,Drop8per,Drop9id,Drop9per,DropCardid,DropCardper
// Note: Keep the Sprite_Name field as it is in the game client.

1038,OSIRIS,Osiris,Osiris,78,4154000,0,7150000,2860000,1,1780,2880,10,25,1,75,30,37,86,40,10,12,1,1,89,0x6283695,100,1072,672,384,35750,603,4000,608,3000,751,500,617,2000,1232,150,2235,200,1255,600,1009,1000,5053,150,1285,100,0,0,0,0,4144,1
1039,BAPHOMET,Baphomet,Baphomet,81,6680000,0,10725000,3789500,2,4220,5040,35,45,1,152,30,85,120,95,10,12,2,6,67,0x6283695,100,768,768,576,53625,607,2000,750,500,923,5000,1466,400,2256,300,1476,50,714,500,5160,10,985,5432,984,4171,0,0,0,0,4147,1
1040,GOLEM,Golem,Golem,25,39000,0,46500,9400,1,175,187,40,0,1,15,25,0,15,0,10,12,2,0,60,0x91,300,1608,816,396,0,0,0,0,0,0,0,999,150,953,9000,912,220,757,70,1003,210,715,200,998,350,0,0,0,0,4072,1
1041,MUMMY,Mummy,Mummy,37,51760,0,80000,60200,1,305,360,0,10,28,19,32,0,63,20,10,12,1,1,49,0x3885,300,1772,72,384,0,0,0,0,0,0,0,930,9000,756,100,934,550,2604,1,2611,10,525,250,508,850,0,0,0,0,4106,1
1042,STEEL_CHONCHON,Steel Chonchon,Steel Chonchon,17,53000,0,10900,7100,1,54,65,15,0,1,43,17,5,33,10,10,12,0,4,24,0x200108B,150,1076,576,480,0,0,0,0,0,0,0,992,90,999,30,910,2400,935,9000,943,30,998,200,1002,300,0,0,0,0,4042,1
//1043,SEAHORES,Seahorse,Seahorse,18,145200,0,12200,7800,3,100,150,15,7,1,1,1,1,1,1,10,10,0,5,22,0x131,200,1500,800,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1044,OBEAUNE,Obeaune,Obeaune,31,395200,0,64400,40700,1,141,165,0,40,1,31,31,55,74,85,10,12,1,5,41,0x3095,200,1872,672,288,0,0,0,0,0,0,0,995,13,950,9000,5014,1,2326,10,720,10,951,500,748,30,0,0,0,0,4093,1
1045,MARC,Marc,Marc,36,690000,0,98800,62500,1,220,280,5,10,1,36,36,20,56,30,10,12,1,5,41,0x3885,150,1272,72,480,0,0,0,0,0,0,0,995,18,956,9000,756,95,951,1000,720,10,717,200,509,700,0,0,0,0,4105,1
1046,DOPPELGANGER,Doppelganger,Doppelganger,72,24900000,0,5148000,1072500,1,3340,3590,60,35,88,90,30,35,125,65,10,12,1,6,67,0x6283695,100,480,480,288,25740,724,1500,505,6000,0,0,2317,250,1162,220,1168,150,2258,350,1411,550,985,3686,984,2700,0,0,0,0,4142,1
1047,PECOPECO_EGG,Peco Peco Egg,Peco Peco Egg,3,42000,0,400,400,0,1,2,20,20,1,1,1,0,1,20,10,12,0,0,60,0x0,1000,1001,1,1,0,0,0,0,0,0,0,1010,250,935,1500,2102,2,507,400,507,400,713,1800,736,10,0,0,0,0,4007,1
1048,THIEF_BUG_EGG,Thief Bug Egg,Thief Bug Egg,4,4800,0,800,400,0,13,17,20,0,1,6,4,0,14,20,10,12,0,4,27,0x2000000,1000,701,1,1,0,0,0,0,0,0,0,1010,300,915,5000,2102,2,938,600,716,100,737,10,1002,250,0,0,0,0,4012,1
1049,PICKY,Picky,Picky,3,8000,0,400,300,1,9,12,0,0,1,3,3,5,10,30,10,12,0,2,23,0x81,200,988,288,168,0,0,0,0,0,0,0,916,9000,949,700,2302,150,507,550,519,300,715,50,0,0,0,0,0,0,4008,1
1050,PICKY_,Picky,Picky,4,8300,0,500,400,1,8,11,20,0,1,3,3,10,11,20,10,12,0,2,23,0x81,200,988,288,168,0,0,0,0,0,0,0,916,9000,949,700,5015,10,507,600,519,300,715,50,10012,10,0,0,0,0,4011,1
1051,THIEF_BUG,Thief Bug,Thief Bug,6,12600,0,1700,500,1,18,24,5,0,1,6,6,0,11,0,10,12,0,4,60,0x200108B,150,1288,288,768,0,0,0,0,0,0,0,955,2500,2304,80,507,350,909,2000,2303,120,1002,250,0,0,0,0,0,0,4016,1
1052,ROCKER,Rocker,Rocker,9,19800,0,2000,1600,1,24,29,5,10,1,9,18,10,14,15,10,12,1,4,22,0x2000081,200,1864,864,540,0,0,0,0,0,0,0,940,9000,1916,10,2298,4,1402,80,520,10,752,10,703,10,0,0,0,0,4021,1
1053,THIEF_BUG_,Thief Bug Female,Thief Bug Female,10,17000,0,3500,1800,1,33,40,5,5,1,15,10,5,23,5,10,12,1,4,27,0x200108B,200,988,288,768,0,0,0,0,0,0,0,955,3500,910,250,1108,15,928,200,507,400,716,50,1002,300,0,0,0,0,4026,1
1054,THIEF_BUG__,Thief Bug Male,Thief Bug Male,19,58300,0,22300,9300,1,76,88,15,5,1,29,16,5,36,0,10,12,1,4,27,0x200308D,300,988,288,768,0,0,0,0,0,0,0,1011,40,928,5500,955,1500,1152,10,508,90,729,5,1116,50,0,0,0,0,4050,1
1055,MUKA,Muka,Muka,17,61000,0,27300,12000,1,40,49,5,5,15,15,30,5,20,10,10,12,2,3,22,0x81,300,1960,960,384,0,0,0,0,0,0,0,993,70,952,9000,713,2000,511,400,507,1000,1451,50,1002,250,0,0,0,0,4036,1
1056,SMOKIE,Smokie,Smokie,18,6401,0,13400,8600,1,61,72,0,10,1,18,36,25,26,35,10,12,0,2,22,0x91,200,1576,576,420,0,0,0,0,0,0,0,945,5500,919,5500,516,800,2213,1,754,2,912,5,729,2,0,0,0,0,4044,1
1057,YOYO,Yoyo,Yoyo,21,8790,0,28000,11100,1,71,82,0,0,1,24,30,35,32,55,10,12,0,2,22,0x108B,200,1054,54,384,0,0,0,0,0,0,0,942,9000,513,1500,508,200,7182,900,753,10,756,24,578,1000,0,0,0,0,4051,1
1058,METALLER,Metaller,Metaller,22,9206,0,24001,15002,1,131,159,15,30,1,22,22,20,49,50,10,12,1,4,23,0x200108B,200,1708,1008,540,0,0,0,0,0,0,0,990,60,940,6500,911,400,757,49,707,20,935,3000,1914,10,0,0,0,0,4057,1
1059,MISTRESS,Mistress,Mistress,74,2120000,0,3932500,2717000,1,1880,2110,40,60,50,165,60,95,70,130,10,12,0,4,84,0x6283695,100,1148,648,300,19662,996,1500,526,4000,722,3000,1413,150,518,10000,2249,250,616,1000,7018,10,985,4268,16001,100,0,0,0,0,4132,1
1060,BIGFOOT,Bigfoot,Bigfoot,25,16190,0,31000,18800,1,198,220,10,0,1,25,55,15,20,25,10,12,2,2,22,0x91,300,1260,192,192,0,0,0,0,0,0,0,948,9000,2289,5,919,5000,740,80,516,1500,518,450,756,43,0,0,0,0,4074,1
1061,NIGHTMARE,Nightmare,Nightmare,49,44307,0,191200,191200,1,447,529,0,40,1,74,25,15,64,10,10,12,2,6,68,0x2003295,150,1816,816,432,0,0,0,0,0,0,0,944,6000,510,500,2608,2,603,30,505,100,1261,1,984,60,0,0,0,0,4127,1
1062,PORING_,Santa Poring,Santa Poring,3,690,0,400,500,1,12,16,0,0,1,14,3,10,12,90,10,12,1,3,26,0x81,400,1672,672,480,0,0,0,0,0,0,0,529,2000,530,1000,507,1000,512,1000,2236,100,512,7,0,0,0,0,0,0,4005,1
1063,LUNATIC,Lunatic,Lunatic,3,600,0,600,200,1,9,12,0,20,1,3,3,10,8,60,10,12,0,2,60,0x81,200,1456,456,336,0,0,0,0,0,0,0,705,6500,949,1000,2262,4,512,2000,507,600,515,1100,622,20,0,0,0,0,4006,1
1064,MEGALODON,Megalodon,Megalodon,24,16408,0,21500,13200,1,155,188,0,15,1,12,24,0,26,5,10,12,1,1,29,0x81,200,2492,792,432,0,0,0,0,0,0,0,959,5500,932,1500,510,80,717,120,719,10,603,2,624,20,0,0,0,0,4067,1
1065,STROUF,Strouf,Strouf,48,119900,0,308000,209800,1,200,1250,5,50,1,40,45,92,43,65,10,12,2,5,61,0x3885,150,1872,672,384,0,0,0,0,0,0,0,951,5335,756,115,2241,2,1461,2,949,3000,720,20,956,1500,0,0,0,0,4111,1
1066,VADON,Vadon,Vadon,19,10107,0,13500,8500,1,74,85,20,0,1,19,16,10,36,15,10,12,0,5,21,0x91,300,1632,432,540,0,0,0,0,0,0,0,991,40,960,9000,910,3000,2313,5,943,100,757,40,717,50,0,0,0,0,4049,1
1067,CORNUTUS,Cornutus,Cornutus,23,16200,0,24000,14900,1,109,131,30,0,1,23,23,5,36,12,10,12,0,5,21,0x91,200,1248,48,480,0,0,0,0,0,0,0,991,45,961,5500,911,800,757,53,2106,5,943,1000,717,100,0,0,0,0,4061,1
1068,HYDRA,Hydra,Hydra,14,6600,0,5900,4000,7,22,28,0,40,1,14,14,0,40,2,10,12,0,3,41,0x84,1000,800,432,600,0,0,0,0,0,0,0,1011,25,962,5500,938,1500,971,20,525,5,517,700,0,0,0,0,0,0,4035,1
1069,SWORD_FISH,Swordfish,Swordfish,30,42990,0,125001,60038,1,168,199,5,20,1,30,30,41,62,30,10,12,2,5,41,0x3885,200,1968,768,384,0,0,0,0,0,0,0,995,10,963,9000,756,33,2257,2,757,50,1117,25,956,600,0,0,0,0,4089,1
1070,KUKRE,Kukre,Kukre,11,5070,0,3800,2800,1,28,37,15,0,1,11,11,5,16,2,10,12,0,5,21,0x83,150,1776,576,288,0,0,0,0,0,0,0,991,30,955,5500,910,400,528,500,507,650,928,450,623,20,0,0,0,0,4027,1
1071,PIRATE_SKEL,Pirate Skeleton,Pirate Skeleton,25,16760,0,23300,14002,1,145,178,10,15,25,13,25,5,25,10,10,12,1,1,29,0x3885,200,1754,554,288,0,0,0,0,0,0,0,932,3000,2287,15,7477,5,2211,250,1104,250,756,43,628,20,0,0,0,0,4073,1
1072,KAHO,Kaho,Kaho,60,84090,0,399000,45000,1,110,760,5,50,1,55,43,88,80,46,10,12,1,6,83,0x2003885,150,1700,1000,500,0,0,0,0,0,0,0,994,30,1003,150,7097,3000,690,100,757,1000,716,300,970,5,0,0,0,0,4065,1
1073,CRAB,Crab,Crab,20,24510,0,16300,10001,1,71,81,35,0,18,20,15,0,36,15,7,12,0,5,21,0x81,200,992,792,360,0,0,0,0,0,0,0,964,5500,960,1500,7049,700,1001,13,0,0,0,0,757,37,0,0,0,0,4153,1
1074,SHELLFISH,Shellfish,Shellfish,15,9020,0,6600,4400,1,35,42,35,0,1,12,8,0,32,5,10,12,0,5,21,0x91,200,864,864,384,0,0,0,0,0,0,0,965,5500,966,1000,7049,500,1056,1000,1001,10,0,0,757,18,0,0,0,0,4273,1
//1075,TURTLE,Turtle,Turtle,3,77,0,0,0,1,1,2,35,0,1,1,1,1,1,1,7,12,0,5,22,0x81,200,500,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1076,SKELETON,Skeleton,Skeleton,10,2304,0,1800,1400,1,39,47,10,10,1,5,10,0,12,0,10,12,1,1,29,0x91,200,2228,528,576,0,0,0,0,0,0,0,1010,90,932,800,1505,80,909,3000,507,850,2609,30,0,0,0,0,0,0,4025,1
1077,POISON_SPORE,Poison Spore,Poison Spore,19,6650,0,18600,9300,1,89,101,0,0,1,19,25,0,24,0,10,12,1,3,25,0x3885,200,1672,672,288,0,0,0,0,0,0,0,7033,9000,2221,20,511,550,510,60,972,50,921,1200,912,5,0,0,0,0,4048,1
1078,RED_PLANT,Red Plant,Red Plant,1,10,0,0,0,1,1,2,100,99,0,0,0,0,0,0,7,12,0,3,22,0x170000,2000,1,1,1,0,0,0,0,0,0,0,507,5500,712,1000,711,1000,905,500,906,300,914,500,708,50,2269,2,0,0,0,0
1079,BLUE_PLANT,Blue Plant,Blue Plant,1,10,0,0,0,1,1,2,100,99,0,0,0,0,0,0,7,12,0,3,22,0x170000,2000,1,1,1,0,0,0,0,0,0,0,510,5500,712,1000,711,1000,905,500,906,300,522,50,514,1000,2270,2,0,0,0,0
1080,GREEN_PLANT,Green Plant,Green Plant,1,10,0,0,0,1,1,2,100,99,0,0,0,0,0,0,7,12,0,3,22,0x170000,2000,1,1,1,0,0,0,0,0,0,0,511,7000,712,1000,621,20,905,3000,906,1500,704,50,521,50,2270,2,0,0,0,0
1081,YELLOW_PLANT,Yellow Plant,Yellow Plant,1,10,0,0,0,1,1,2,100,99,0,0,0,0,0,0,7,12,0,3,22,0x170000,2000,1,1,1,0,0,0,0,0,0,0,508,5500,712,1000,711,1000,905,500,906,300,707,5,914,500,2269,2,0,0,0,0
1082,WHITE_PLANT,White Plant,White Plant,1,10,0,0,0,1,1,2,100,99,0,0,0,0,0,0,7,12,0,3,22,0x170000,2000,1,1,1,0,0,0,0,0,0,0,509,5500,712,1000,631,20,905,3000,906,1500,521,50,703,50,2269,2,0,0,0,0
1083,SHINING_PLANT,Shining Plant,Shining Plant,1,20,0,0,0,1,1,2,100,99,0,0,0,0,0,90,7,12,0,3,26,0x170000,2000,1,1,1,0,0,0,0,0,0,0,510,5500,508,1000,509,1000,710,5,608,20,518,500,607,50,714,1,0,0,0,0
1084,BLACK_MUSHROOM,Black Mushroom,Black Mushroom,1,15,0,0,0,1,1,2,100,99,0,0,0,0,0,0,7,12,0,3,22,0x170000,2000,1,1,1,0,0,0,0,0,0,0,970,50,971,50,630,20,949,2000,991,800,921,5500,921,5500,7033,5500,0,0,0,0
1085,RED_MUSHROOM,Red Mushroom,Red Mushroom,1,15,0,0,0,1,1,2,100,99,0,0,0,0,0,0,7,12,0,3,22,0x170000,2000,1,1,1,0,0,0,0,0,0,0,970,50,972,50,630,20,949,2000,990,1000,921,5500,921,5500,7033,5500,0,0,0,0
1086,GOLDEN_BUG,Golden Thief Bug,Golden Thief Bug,64,1260000,0,1430000,715000,1,1870,2145,60,45,65,75,35,45,85,150,10,12,2,4,43,0x628108B,100,768,768,480,7150,2610,2000,701,1000,0,0,969,1000,1524,150,2246,250,10016,500,714,300,985,2000,984,1500,0,0,0,0,4128,1
1087,ORK_HERO,Orc Hero,Orc Hero,77,5857000,0,5863000,3289000,1,3257,3542,40,45,1,91,30,70,105,90,10,12,2,7,42,0x6283695,150,1678,780,648,29315,725,2000,607,1500,999,5000,968,9700,10018,500,1366,150,2106,250,1124,1000,985,4559,1387,100,0,0,0,0,4143,1
1088,VOCAL,Vocal,Vocal,18,30160,0,11000,8800,1,71,82,10,30,77,28,26,30,53,40,10,12,1,4,22,0x2003695,200,1080,648,480,0,0,0,0,0,0,0,2247,50,940,8000,721,1000,752,1500,2420,1000,645,700,1917,10,0,0,0,0,4211,1
1089,TOAD,Toad,Toad,10,50650,0,10000,5000,1,26,32,0,0,1,5,10,10,10,25,10,12,1,5,21,0x6203695,200,1236,336,432,0,0,0,0,0,0,0,2244,50,518,2000,729,1000,746,1500,970,100,971,100,5125,1000,0,0,0,0,4306,1
1090,MASTERING,Mastering,Mastering,2,24150,0,3000,1000,1,18,24,0,10,1,2,2,0,17,60,10,12,1,3,21,0x6203695,300,1072,672,480,0,0,0,0,0,0,0,2257,200,619,50,722,1000,2116,1000,512,8000,512,8000,531,4000,0,0,0,0,4197,1
1091,DRAGON_FLY,Dragon Fly,Dragon Fly,8,24000,0,8800,4400,1,22,27,40,0,1,20,8,15,17,5,10,12,0,4,24,0x6203695,100,1076,576,480,0,0,0,0,0,0,0,2245,200,507,8000,719,1500,742,2000,2607,3000,625,50,533,3000,0,0,0,0,4179,1
1092,VAGABOND_WOLF,Vagabond Wolf,Vagabond Wolf,24,122400,0,24700,17600,1,135,159,10,0,57,45,48,20,50,65,10,12,1,2,22,0x6203695,150,1048,648,432,0,0,0,0,0,0,0,2248,200,920,8000,728,1500,1148,100,2521,1000,725,10,626,50,0,0,0,0,4183,1
1093,ECLIPSE,Eclipse,Eclipse,6,18000,0,6000,5500,1,20,26,0,40,1,36,6,0,11,80,10,12,1,2,60,0x6203695,200,1456,456,336,0,0,0,0,0,0,0,2250,200,507,8000,727,1200,746,1500,706,30,622,50,2355,1000,0,0,0,0,4266,1
1094,AMBERNITE,Ambernite,Ambernite,13,49005,0,5700,3800,1,39,46,30,0,1,13,13,5,18,5,10,12,2,4,21,0x2000091,400,2048,648,648,0,0,0,0,0,0,0,991,50,946,9000,910,1200,935,3000,943,2,757,14,1002,150,0,0,0,0,4032,1
